Frequency,FFT2-7Q,FFT2-10Q,FFT2-12Q,FFT2-14Q,FFT2-17Q,FFT2-20Q,FFT2-23Q,FFT2-26Q,FFT2-29Q,FFT4-10Q,FFT4-14Q,FFT4-15.5Q,FFT4-17Q,FFT4-20Q,FFT4-23Q,FFT4-26Q,FFT4-29Q,FFT8-14Q,FFT8-17Q,FFT8-20Q,FFT8-23Q,FFT8-26Q,FFT8-29Q
151.25,-3.0863,-1.572,-1.3804,-0.8743,-0.85581,-0.65266,-0.55266,-0.55266,-0.42805,-3.6028,-1.4905,-1.278,-0.9743,-0.82899,-0.65266,-0.55757,-0.55266,-3.5109,-1.4708,-1.1512,-0.9743,-0.72751,-0.55266
157.25,-3.0954,-1.5788,-1.3881,-0.88158,-0.86098,-0.6576,-0.5576,-0.5576,-0.43054,-3.613,-1.4993,-1.2852,-0.98158,-0.83154,-0.6576,-0.5636,-0.5576,-3.5225,-1.4773,-1.1558,-0.98158,-0.72987,-0.5576
163.25,-3.1042,-1.5852,-1.3955,-0.88859,-0.86589,-0.66231,-0.56231,-0.56231,-0.43288,-3.6228,-1.5078,-1.2921,-0.98859,-0.83395,-0.66231,-0.56949,-0.56231,-3.5338,-1.4834,-1.1602,-0.98859,-0.73209,-0.56231
169.25,-3.1128,-1.5914,-1.4026,-0.89534,-0.87057,-0.66681,-0.56681,-0.56681,-0.43509,-3.6323,-1.5159,-1.2986,-0.99534,-0.8362,-0.66681,-0.57523,-0.56681,-3.5449,-1.4893,-1.1643,-0.99534,-0.73415,-0.56681
175.25,-3.1212,-1.5973,-1.4094,-0.90185,-0.87501,-0.6711,-0.5711,-0.5711,-0.43716,-3.6414,-1.5238,-1.3048,-1.0018,-0.83832,-0.6711,-0.58083,-0.5711,-3.5557,-1.4949,-1.1682,-1.0018,-0.73608,-0.5711
181.25,-3.1294,-1.6029,-1.4159,-0.90812,-0.87924,-0.6752,-0.5752,-0.5752,-0.43911,-3.6502,-1.5314,-1.3107,-1.0081,-0.84031,-0.6752,-0.58629,-0.5752,-3.5662,-1.5002,-1.1719,-1.0081,-0.73787,-0.5752
187.25,-3.1374,-1.6083,-1.4221,-0.91416,-0.88325,-0.6791,-0.5791,-0.5791,-0.44093,-3.6587,-1.5387,-1.3163,-1.0142,-0.84216,-0.6791,-0.59161,-0.5791,-3.5765,-1.5052,-1.1754,-1.0142,-0.73954,-0.5791
193.25,-3.1452,-1.6134,-1.4281,-0.91999,-0.88706,-0.68283,-0.58283,-0.58283,-0.44265,-3.6669,-1.5457,-1.3216,-1.02,-0.84391,-0.68283,-0.59679,-0.58283,-3.5866,-1.51,-1.1787,-1.02,-0.7411,-0.58283
199.25,-3.1527,-1.6184,-1.4339,-0.92561,-0.89067,-0.68638,-0.58638,-0.58638,-0.44426,-3.6748,-1.5525,-1.3266,-1.0256,-0.84553,-0.68638,-0.60182,-0.58638,-3.5965,-1.5145,-1.1818,-1.0256,-0.74254,-0.58638
205.25,-3.1601,-1.6231,-1.4394,-0.93103,-0.89411,-0.68977,-0.58977,-0.58977,-0.44577,-3.6825,-1.5591,-1.3314,-1.031,-0.84706,-0.68977,-0.60672,-0.58977,-3.6061,-1.5189,-1.1848,-1.031,-0.74388,-0.58977
211.25,-3.1672,-1.6276,-1.4446,-0.93626,-0.89737,-0.69301,-0.59301,-0.59301,-0.44718,-3.6899,-1.5655,-1.336,-1.0363,-0.84848,-0.69301,-0.61149,-0.59301,-3.6156,-1.523,-1.1876,-1.0363,-0.74513,-0.59301
217.25,-3.1742,-1.6319,-1.4497,-0.94131,-0.90048,-0.69611,-0.59611,-0.59611,-0.44851,-3.697,-1.5716,-1.3403,-1.0413,-0.84981,-0.69611,-0.61611,-0.59611,-3.6248,-1.527,-1.1902,-1.0413,-0.74628,-0.59611
223.25,-3.1809,-1.6361,-1.4546,-0.9462,-0.90343,-0.69907,-0.59907,-0.59907,-0.44976,-3.7039,-1.5776,-1.3445,-1.0462,-0.85105,-0.69907,-0.6206,-0.59907,-3.6338,-1.5307,-1.1927,-1.0462,-0.74736,-0.59907
229.25,-3.1874,-1.6401,-1.4592,-0.95092,-0.90624,-0.7019,-0.6019,-0.6019,-0.45093,-3.7106,-1.5834,-1.3484,-1.0509,-0.85222,-0.7019,-0.62496,-0.6019,-3.6427,-1.5344,-1.1951,-1.0509,-0.74837,-0.6019
235.25,-3.1938,-1.644,-1.4637,-0.9555,-0.90891,-0.70462,-0.60462,-0.60462,-0.45204,-3.717,-1.589,-1.3522,-1.0555,-0.85331,-0.70462,-0.62918,-0.60462,-3.6513,-1.5379,-1.1974,-1.0555,-0.7493,-0.60462
241.25,-3.1999,-1.6477,-1.4681,-0.95993,-0.91147,-0.70723,-0.60723,-0.60723,-0.45308,-3.7233,-1.5945,-1.3558,-1.0599,-0.85434,-0.70723,-0.63327,-0.60723,-3.6598,-1.5412,-1.1996,-1.0599,-0.75018,-0.60723
247.25,-3.2058,-1.6513,-1.4722,-0.96424,-0.91391,-0.70974,-0.60974,-0.60974,-0.45407,-3.7293,-1.5999,-1.3593,-1.0642,-0.85531,-0.70974,-0.63723,-0.60974,-3.6682,-1.5445,-1.2017,-1.0642,-0.75101,-0.60974
253.25,-3.2116,-1.6549,-1.4763,-0.96842,-0.91625,-0.71216,-0.61216,-0.61216,-0.45501,-3.7352,-1.6051,-1.3627,-1.0684,-0.85622,-0.71216,-0.64106,-0.61216,-3.6763,-1.5477,-1.2037,-1.0684,-0.7518,-0.61216
254,-3.2123,-1.6553,-1.4768,-0.96893,-0.91653,-0.71246,-0.61246,-0.61246,-0.45513,-3.7359,-1.6057,-1.3631,-1.0689,-0.85633,-0.71246,-0.64153,-0.61246,-3.6773,-1.5481,-1.2039,-1.0689,-0.75189,-0.61246
259.25,-3.2171,-1.6583,-1.4802,-0.97249,-0.91849,-0.71451,-0.61451,-0.61451,-0.45591,-3.7409,-1.6102,-1.366,-1.0725,-0.85709,-0.71451,-0.64475,-0.61451,-3.6843,-1.5508,-1.2056,-1.0725,-0.75254,-0.61451
265.25,-3.2225,-1.6617,-1.4839,-0.97646,-0.92066,-0.71678,-0.61678,-0.61678,-0.45677,-3.7464,-1.6153,-1.3691,-1.0765,-0.85792,-0.71678,-0.64832,-0.61678,-3.6922,-1.5538,-1.2075,-1.0765,-0.75326,-0.61678
271.25,-3.2276,-1.6649,-1.4876,-0.98034,-0.92275,-0.71898,-0.61898,-0.61898,-0.4576,-3.7518,-1.6202,-1.3722,-1.0803,-0.85872,-0.71898,-0.65176,-0.61898,-3.6999,-1.5568,-1.2094,-1.0803,-0.75396,-0.61898
277.25,-3.2326,-1.6682,-1.4911,-0.98413,-0.92478,-0.72114,-0.62114,-0.62114,-0.45841,-3.7571,-1.6251,-1.3752,-1.0841,-0.8595,-0.72114,-0.65507,-0.62114,-3.7075,-1.5598,-1.2112,-1.0841,-0.75464,-0.62114
283.25,-3.2374,-1.6714,-1.4946,-0.98785,-0.92675,-0.72325,-0.62325,-0.62325,-0.45921,-3.7622,-1.63,-1.3781,-1.0878,-0.86025,-0.72325,-0.65826,-0.62325,-3.7149,-1.5627,-1.213,-1.0878,-0.75531,-0.62325
289.25,-3.242,-1.6746,-1.498,-0.99151,-0.92869,-0.72532,-0.62532,-0.62532,-0.45999,-3.7672,-1.6348,-1.3811,-1.0915,-0.86099,-0.72532,-0.66132,-0.62532,-3.7223,-1.5657,-1.2148,-1.0915,-0.75598,-0.62532
295.25,-3.2464,-1.6778,-1.5013,-0.99511,-0.93059,-0.72737,-0.62737,-0.62737,-0.46077,-3.7721,-1.6396,-1.384,-1.0951,-0.86172,-0.72737,-0.66426,-0.62737,-3.7295,-1.5686,-1.2165,-1.0951,-0.75666,-0.62737
301.25,-3.2506,-1.681,-1.5046,-0.99867,-0.93246,-0.7294,-0.6294,-0.6294,-0.46155,-3.7769,-1.6444,-1.3869,-1.0987,-0.86246,-0.7294,-0.66707,-0.6294,-3.7366,-1.5716,-1.2183,-1.0987,-0.75736,-0.6294
307.25,-3.2546,-1.6842,-1.5078,-1.0022,-0.93433,-0.73142,-0.63142,-0.63142,-0.46234,-3.7817,-1.6492,-1.3898,-1.1022,-0.8632,-0.73142,-0.66976,-0.63142,-3.7436,-1.5747,-1.2202,-1.1022,-0.75807,-0.63142
313.25,-3.2585,-1.6874,-1.511,-1.0057,-0.93619,-0.73345,-0.63345,-0.63345,-0.46315,-3.7863,-1.654,-1.3927,-1.1057,-0.86396,-0.73345,-0.67233,-0.63345,-3.7506,-1.5778,-1.222,-1.1057,-0.75882,-0.63345
